state,date,sentiment,total,row,col,pval
OR,21.5,0.021020254957507083,706,4,3,0.6809
OR,23.5,0.018248232323232326,792,4,3,0.1292
OR,25.5,0.03811866825208086,841,4,3,0.05766
OR,27.5,0.010591069182389935,795,4,3,0.6116
OR,29.5,0.01952074788902292,829,4,3,0.4431
OR,31.0,0.03590174418604652,516,4,3,0.2955
GA,1.5,-0.10790750883392225,3396,7,9,1.277e-24
GA,3.5,-0.05243069949636262,8935,7,9,2.854e-22
GA,5.5,-0.05384060941828255,1805,7,9,1.703e-05
GA,7.5,-0.027230974632843793,1498,7,9,0.09784
GA,9.5,-0.058422509225092255,1626,7,9,2.086e-06
GA,11.5,-0.049021214235868804,1433,7,9,0.00824
GA,13.5,-0.0320436669619132,1129,7,9,0.01246
GA,15.5,0.021292144177449165,1082,7,9,0.04712
GA,17.5,0.009570442477876107,1130,7,9,0.6545
GA,19.5,0.023779505027068836,1293,7,9,0.05363
GA,21.5,-0.019500195694716244,1022,7,9,0.2531
GA,23.5,-0.012318984547461364,1359,7,9,0.09445
GA,25.5,0.028296951219512197,1476,7,9,0.03021
GA,27.5,0.03681954674220963,1412,7,9,0.033
GA,29.5,0.0016625255972696283,1465,7,9,0.6352
GA,31.0,0.00023718104495747407,823,7,9,0.6639
CA,1.5,-0.08415016929476637,20674,5,2,1.207e-107
CA,3.5,-0.06089970006427194,42009,5,2,6.358e-108
CA,5.5,-0.04891473438022051,11972,5,2,1.291e-20
CA,7.5,-0.04874995775044596,10651,5,2,8.226e-22
CA,9.5,-0.05486456886419489,9359,5,2,8.653e-21
CA,11.5,-0.03464227508243052,8492,5,2,2.215e-08
CA,13.5,-0.019059246326203986,6873,5,2,0.01688
CA,15.5,0.02145630670178519,6834,5,2,0.0002151
CA,17.5,0.017465450050894286,6877,5,2,2.084e-05
CA,19.5,0.025259308314937452,8154,5,2,7.135e-05
CA,21.5,0.043207701369459575,6791,5,2,5.116e-09
CA,23.5,0.027955191328196422,7657,5,2,0.0002536
CA,25.5,0.037826553800704474,8801,5,2,4.184e-08
CA,27.5,0.029473894307099117,8818,5,2,5.948e-06
CA,29.5,0.022167985781990522,8440,5,2,0.004081
CA,31.0,0.047203853100541836,4983,5,2,7.608e-10
HI,1.5,-0.06775992366412213,524,7,2,0.09041
HI,3.5,-0.07164953874538746,1084,7,2,4.604e-05
HI,5.5,-0.06782277992277992,259,7,2,0.004925
HI,7.5,-0.0169568345323741,278,7,2,0.9134
HI,9.5,-0.07693051643192489,213,7,2,0.003818
HI,11.5,-0.021179234972677596,183,7,2,0.08043
HI,13.5,-0.02645120481927711,166,7,2,0.3302
HI,15.5,0.07691590909090909,132,7,2,0.381
HI,17.5,-0.043695744680851065,188,7,2,0.5468
HI,19.5,0.027943712574850305,167,7,2,0.8261
HI,21.5,0.013350253807106601,197,7,2,0.9641
HI,23.5,0.057748325358851674,209,7,2,0.1415
HI,25.5,0.0039295202952029495,271,7,2,0.6446
HI,27.5,-0.040689539748953965,239,7,2,0.2042
HI,29.5,-0.0035484716157205306,229,7,2,0.7689
HI,31.0,0.04373426573426573,143,7,2,0.112
IN,1.5,-0.08239400040265754,4967,4,9,7.736e-23
IN,3.5,-0.06252559984330623,10211,4,9,6.933e-28
IN,5.5,-0.03886101097178684,2552,4,9,0.002187
IN,7.5,-0.03584714606741572,2225,4,9,0.0001572
IN,9.5,-0.058231399317406146,2051,4,9,4.225e-05
IN,11.5,-0.034879384465070835,2047,4,9,0.001776
IN,13.5,-0.02021747815230961,1602,4,9,0.4052
IN,15.5,-0.010172715654952078,1565,4,9,0.5669
IN,17.5,-0.016174177746675997,1429,4,9,0.09646
IN,19.5,0.0013234188034188022,1755,4,9,0.6203
IN,21.5,0.04252910855063675,1649,4,9,4.279e-05
IN,23.5,0.01509254254254254,1998,4,9,0.3131
IN,25.5,0.003451410658307212,2233,4,9,0.3023
IN,27.5,0.036590546122074345,2179,4,9,0.03338
IN,29.5,-0.0023021631365479937,2219,4,9,0.742
IN,31.0,0.02986394779771615,1226,4,9,0.0818
IL,1.5,-0.07100467106872095,4089,4,8,5.034e-17
IL,3.5,-0.0576398270708796,9368,4,8,4.461e-26
IL,5.5,-0.04208559847401049,2097,4,8,9.853e-05
IL,7.5,-0.03911012035010941,1828,4,8,0.0007888
